,A,B,R_val,R_z_score,R_p_val
2809,Monocyte_CD14,Monocyte_CD16,0.4739628282093007,128.3821639784207,0.0
208,B_memory,Monocyte_CD16,0.4702593203867076,127.3789959654947,0.0
207,B_memory,Monocyte_CD14,0.46647314516262944,126.3534358592199,0.0
2783,Macrophage_intermediate,Monocyte_CD16,0.4639707517685652,125.675613338266,0.0
778,CD4_naive_CM,Macro_alveolar_metallothioneins,0.46099641200193303,124.86995485004657,0.0
2820,Monocyte_CD14,NKT,0.46064636246950186,124.77513704198567,0.0
2845,Monocyte_CD16,NKT,0.45756703743391874,123.94104122659293,0.0
2782,Macrophage_intermediate,Monocyte_CD14,0.45728452488037485,123.86451713901403,0.0
934,CD8_EM_EMRA,NKT,0.45596916776062285,123.50822676477478,0.0
219,B_memory,NKT,0.4558155512600144,123.46661671099605,0.0
206,B_memory,Macrophage_intermediate,0.4557327457601798,123.44418721099022,0.0
922,CD8_EM_EMRA,Monocyte_CD14,0.45271191836183877,122.6259366324173,0.0
2537,Macro_alveolar_metallothioneins,Macrophage_intermediate,0.45254529874361427,122.58080442821102,0.0
192,B_memory,ILC,0.4479746107570368,121.3427435937697,0.0
2539,Macro_alveolar_metallothioneins,Monocyte_CD16,0.44796755077992256,121.34083125996285,0.0
923,CD8_EM_EMRA,Monocyte_CD16,0.4474424131626334,121.19858739677052,0.0
3068,NKT,gdT,0.44717759193083084,121.12685535201358,0.0
2404,MAIT,NKT,0.44646790222114924,120.93462192091017,0.0
166,B_memory,CD8_EM_EMRA,0.446233053677814,120.87100856896343,0.0
1909,Endothelia_vascular_venous_pulmonary,Monocyte_CD16,0.44610070481019753,120.83515927232366,0.0
2325,ILC,NKT,0.4459177297571343,120.78559687656559,0.0
2532,Macro_alveolar_metallothioneins,Macro_int,0.44507712276272504,120.55790192123462,0.0
2314,ILC,Monocyte_CD16,0.4447030455303379,120.456575737554,0.0
909,CD8_EM_EMRA,MAIT,0.44409197009403517,120.2910539240333,0.0
781,CD4_naive_CM,Macro_int,0.44360557595778355,120.15930449550888,0.0
948,CD8_EM_EMRA,gdT,0.4435928772849921,120.15586480995636,0.0
233,B_memory,gdT,0.4422477991939234,119.79152392545326,0.0
2313,ILC,Monocyte_CD14,0.4417544464483269,119.6578896205782,0.0
1908,Endothelia_vascular_venous_pulmonary,Monocyte_CD14,0.4417100723460678,119.64587002128991,0.0
