,A,B,R_val,R_z_score,R_p_val
2422,Macro_CHIT1,Macro_alv,0.5404490197799743,146.39125802652524,0.0
2423,Macro_CHIT1,Macro_dividing,0.5344575817654471,144.76835907355525,0.0
2565,Macro_alv,Macro_dividing,0.5305746907698866,143.71660159631645,0.0
1230,DC_1,Macro_CHIT1,0.5155506945222628,139.64705640189484,0.0
2419,Macro_CHIT1,Macro_interstitial,0.515414444059576,139.61015028141097,0.0
1234,DC_1,Macro_alv,0.5147120329695258,139.41988840774508,0.0
2424,Macro_CHIT1,Macro_int,0.513299695874093,139.03732909763266,0.0
1993,Erythrocyte,Macro_CHIT1,0.5132968803480836,139.03656645697754,0.0
2566,Macro_alv,Macro_int,0.5118467401045859,138.6437674198973,0.0
1997,Erythrocyte,Macro_alv,0.5105572767950881,138.29449089399432,0.0
2459,Macro_interstitial,Macro_alv,0.5102164250283676,138.20216448187298,0.0
1291,DC_2,Macro_CHIT1,0.5100303306393189,138.15175715254597,0.0
1235,DC_1,Macro_dividing,0.5099224304458932,138.12253026068606,0.0
1998,Erythrocyte,Macro_dividing,0.5089063084184333,137.8472936028994,0.0
2599,Macro_dividing,Macro_int,0.5081155308690499,137.63309593385654,0.0
1295,DC_2,Macro_alv,0.5080003600174969,137.6018996410893,0.0
2460,Macro_interstitial,Macro_dividing,0.5077513560487853,137.5344520134701,0.0
2429,Macro_CHIT1,Macrophage_intermediate,0.5063837426416782,137.1640069949152,0.0
195,B_memory,Macro_CHIT1,0.5036791128788174,136.4314047715966,0.0
2571,Macro_alv,Macrophage_intermediate,0.5036740455043299,136.43003217344403,0.0
1296,DC_2,Macro_dividing,0.503116061667367,136.27889126493665,0.0
199,B_memory,Macro_alv,0.5030081624328322,136.24966463281123,0.0
2430,Macro_CHIT1,Monocyte_CD14,0.5013255997049145,135.79390938960867,0.0
2604,Macro_dividing,Macrophage_intermediate,0.5006607304587325,135.61381646352405,0.0
200,B_memory,Macro_dividing,0.5003229863650094,135.5223318258217,0.0
2425,Macro_CHIT1,Macro_CCL,0.500284662728371,135.51195111427575,0.0
2455,Macro_CHIT1,T_reg,0.49927214250739,135.23769007669063,0.0
1351,DC_activated,Macro_CHIT1,0.49906352171449153,135.1811810273536,0.0
1410,DC_plasmacytoid,Macro_CHIT1,0.4980586869015713,134.90900173386143,0.0
2572,Macro_alv,Monocyte_CD14,0.4979007457713714,134.8662202690093,0.0
2567,Macro_alv,Macro_CCL,0.4977456513327194,134.82420988661204,0.0
2597,Macro_alv,T_reg,0.49762006448498197,134.7901922161954,0.0
779,CD4_naive_CM,Macro_alv,0.49743262786129994,134.73942131619037,0.0
1355,DC_activated,Macro_alv,0.49724739242820837,134.6892466519965,0.0
271,B_naive,Macro_CHIT1,0.49721524831398767,134.68053978576734,0.0
1414,DC_plasmacytoid,Macro_alv,0.49706273172320936,134.63922766422246,0.0
1999,Erythrocyte,Macro_int,0.4965336575431182,134.49591750548737,0.0
775,CD4_naive_CM,Macro_CHIT1,0.496246241734915,134.41806527484275,0.0
2605,Macro_dividing,Monocyte_CD14,0.4958690822131937,134.31590419240808,0.0
1994,Erythrocyte,Macro_interstitial,0.49585877873067985,134.3131132913017,0.0
1236,DC_1,Macro_int,0.49584796638754536,134.31018455527712,0.0
275,B_naive,Macro_alv,0.49582030240112107,134.30269121987183,0.0
2600,Macro_dividing,Macro_CCL,0.49548832783748564,134.21276937299126,0.0
1220,DC_1,Erythrocyte,0.49544808430411164,134.20186861961318,0.0
1041,CD8_TRM,Macro_CHIT1,0.49514868291444897,134.1207698582435,0.0
2630,Macro_dividing,T_reg,0.4949468000869507,134.0660859195004,0.0
1356,DC_activated,Macro_dividing,0.49471912265277285,134.00441500366247,0.0
2441,Macro_CHIT1,NK_CD16hi,0.4940774197563784,133.83059713954515,0.0
1045,CD8_TRM,Macro_alv,0.49391766631967243,133.78732477579294,0.0
1415,DC_plasmacytoid,Macro_dividing,0.4937747566441055,133.74861487638572,0.0
780,CD4_naive_CM,Macro_dividing,0.49377171980764917,133.7477922894386,0.0
1207,DC_1,DC_2,0.49358525995351016,133.69728596669614,0.0
2461,Macro_interstitial,Macro_int,0.4935097211156625,133.67682478516437,0.0
276,B_naive,Macro_dividing,0.4933169470823518,133.624608142672,0.0
706,CD4_TRM,Macro_CHIT1,0.49279877629193664,133.48425138170987,0.0
636,CD4_EM_Effector,Macro_CHIT1,0.49263008731430896,133.4385586507652,0.0
1231,DC_1,Macro_interstitial,0.49258009722122964,133.42501784978876,0.0
185,B_memory,Erythrocyte,0.4920672474797553,133.28610239969956,0.0
640,CD4_EM_Effector,Macro_alv,0.4920043918878448,133.26907672505308,0.0
2420,Macro_CHIT1,Macro_AW_CX3CR1,0.49173769052862387,133.19683541076662,0.0
710,CD4_TRM,Macro_alv,0.4913222396068136,133.08430234869013,0.0
1046,CD8_TRM,Macro_dividing,0.49075454984415695,132.9305323991065,0.0
2568,Macro_alv,Mast_cell,0.49053114389494296,132.8700184990732,0.0
201,B_memory,Macro_int,0.490331195005576,132.8158584055507,0.0
2583,Macro_alv,NK_CD16hi,0.4902281500190732,132.78794664208112,0.0
2442,Macro_CHIT1,NKT,0.4899579439218958,132.71475600051357,0.0
641,CD4_EM_Effector,Macro_dividing,0.4898587617286692,132.68789055065824,0.0
2380,MAIT,Macro_CHIT1,0.4897500689205993,132.658448963516,0.0
910,CD8_EM_EMRA,Macro_CHIT1,0.48972012213822236,132.65033728788046,0.0
171,B_memory,DC_1,0.489613301448589,132.6214028008773,0.0
711,CD4_TRM,Macro_dividing,0.4895024886259623,132.59138696605092,0.0
2495,Macro_AW_CX3CR1,Macro_alv,0.4891340919073119,132.49159946136078,0.0
2004,Erythrocyte,Macrophage_intermediate,0.48907309473598803,132.47507717652104,0.0
2426,Macro_CHIT1,Mast_cell,0.488966128393168,132.4461032364845,0.0
2616,Macro_dividing,NK_CD16hi,0.48868793146667605,132.37074812146392,0.0
976,CD8_TRM_EM,Macro_CHIT1,0.4885962038630586,132.34590189397926,0.0
2584,Macro_alv,NKT,0.4885450968075544,132.33205854173795,0.0
2636,Macro_int,Macrophage_intermediate,0.4880852378293741,132.20749668323367,0.0
914,CD8_EM_EMRA,Macro_alv,0.48792235004859924,132.1633753206776,0.0
2005,Erythrocyte,Monocyte_CD14,0.4877590819876148,132.11915095173936,0.0
2421,Macro_CHIT1,Macro_alveolar_metallothioneins,0.48757327785253196,132.06882224341388,0.0
2530,Macro_alveolar_metallothioneins,Macro_alv,0.4875321320674194,132.05767709738777,0.0
2466,Macro_interstitial,Macrophage_intermediate,0.48749060333621724,132.04642822287337,0.0
196,B_memory,Macro_interstitial,0.48748901638526515,132.04599836596216,0.0
2384,MAIT,Macro_alv,0.4874306381919055,132.03018548286968,0.0
2617,Macro_dividing,NKT,0.48727706963868184,131.98858841658415,0.0
781,CD4_naive_CM,Macro_int,0.48708834606627205,131.9374689211772,0.0
1241,DC_1,Macrophage_intermediate,0.48693541959307646,131.89604577490937,0.0
2301,ILC,Macro_CHIT1,0.48683504535411887,131.86885743599734,0.0
765,CD4_naive_CM,Erythrocyte,0.48652383721822745,131.78456058494598,0.0
2443,Macro_CHIT1,NK_CD11d,0.48647584849890896,131.77156189545818,0.0
2030,Erythrocyte,T_reg,0.48637359909581274,131.74386563141866,0.0
915,CD8_EM_EMRA,Macro_dividing,0.48630109015662576,131.7242251575955,0.0
2385,MAIT,Macro_dividing,0.48615653690412564,131.6850700630152,0.0
980,CD8_TRM_EM,Macro_alv,0.48587134172162477,131.60781933256442,0.0
1292,DC_2,Macro_interstitial,0.4858314173836111,131.59700503953437,0.0
2467,Macro_interstitial,Monocyte_CD14,0.48567938761583834,131.55582478358573,0.0
1281,DC_2,Erythrocyte,0.48559570244836514,131.53315700828003,0.0
1297,DC_2,Macro_int,0.4855565123000339,131.5225415849811,0.0
751,CD4_naive_CM,DC_1,0.48541723083487714,131.4848144578001,0.0
2000,Erythrocyte,Macro_CCL,0.4852487320364029,131.4391732406236,0.0
2456,Macro_CHIT1,gdT,0.4851624960948747,131.41581453794237,0.0
2637,Macro_int,Monocyte_CD14,0.485100748173756,131.399088897739,0.0
1341,DC_activated,Erythrocyte,0.48505425637658145,131.38649567908712,0.0
2496,Macro_AW_CX3CR1,Macro_dividing,0.4846536531447918,131.27798440619213,0.0
2431,Macro_CHIT1,Monocyte_CD16,0.4845424676394054,131.24786762290245,0.0
2601,Macro_dividing,Mast_cell,0.48441971330736566,131.21461719513255,0.0
2585,Macro_alv,NK_CD11d,0.48434904580240956,131.19547551002722,0.0
2662,Macro_int,T_reg,0.4841586471470663,131.14390228542666,0.0
2305,ILC,Macro_alv,0.48415765297303937,131.14363299381696,0.0
981,CD8_TRM_EM,Macro_dividing,0.4841525974212773,131.14226359808234,0.0
1267,DC_1,T_reg,0.4841451647654532,131.1402503169092,0.0
1209,DC_1,DC_plasmacytoid,0.4834967145267032,130.96460480226497,0.0
2492,Macro_interstitial,T_reg,0.4834200806537352,130.9438470089105,0.0
2632,Macro_int,Macro_CCL,0.48340190993125537,130.9389251109595,0.0
1208,DC_1,DC_activated,0.48319428969013234,130.88268708077092,0.0
2598,Macro_alv,gdT,0.4830989696806408,130.8568677794236,0.0
261,B_naive,Erythrocyte,0.48307297799234633,130.849827418893,0.0
247,B_naive,DC_1,0.48302621639359916,130.83716111917295,0.0
2444,Macro_CHIT1,NK_CD56bright,0.482965834939335,130.82080561342184,0.0
164,B_memory,CD4_naive_CM,0.4829220291378413,130.80893994958524,0.0
2531,Macro_alveolar_metallothioneins,Macro_dividing,0.48284808153602843,130.7889097856637,0.0
2306,ILC,Macro_dividing,0.48252700582842317,130.70194010852887,0.0
2462,Macro_interstitial,Macro_CCL,0.48250025424788395,130.69469391622212,0.0
206,B_memory,Macrophage_intermediate,0.4823597329962569,130.6566309684652,0.0
1357,DC_activated,Macro_int,0.48220288377392734,130.61414526835858,0.0
1242,DC_1,Monocyte_CD14,0.48209265482455604,130.58428758709942,0.0
2631,Macro_dividing,gdT,0.48198904367340434,130.55622246678735,0.0
1400,DC_plasmacytoid,Erythrocyte,0.4819315770970275,130.54065651310367,0.0
2618,Macro_dividing,NK_CD11d,0.4818743935970954,130.5251672362486,0.0
626,CD4_EM_Effector,Erythrocyte,0.4817206064318697,130.48351095459805,0.0
2573,Macro_alv,Monocyte_CD16,0.4816810690947192,130.47280148837154,0.0
2586,Macro_alv,NK_CD56bright,0.4816269381186159,130.45813904769733,0.0
843,CD8_EM,Macro_CHIT1,0.4815917402680993,130.4486050168667,0.0
1237,DC_1,Macro_CCL,0.4815095204116667,130.42633414990718,0.0
696,CD4_TRM,Erythrocyte,0.48140792175437924,130.39881415318266,0.0
2017,Erythrocyte,NKT,0.48118243161723384,130.33773570981214,0.0
2016,Erythrocyte,NK_CD16hi,0.48102814533872035,130.29594423350042,0.0
1352,DC_activated,Macro_interstitial,0.48088515021043493,130.2572111875419,0.0
277,B_naive,Macro_int,0.48085709858970055,130.2496128537515,0.0
1017,CD8_TRM,DC_1,0.4807858308149015,130.23030857374036,0.0
776,CD4_naive_CM,Macro_interstitial,0.48077548291676414,130.22750564178781,0.0
1299,DC_2,Mast_cell,0.4805710781976441,130.17213859904487,0.0
272,B_naive,Macro_interstitial,0.4800085915517607,130.0197780160846,0.0
2478,Macro_interstitial,NK_CD16hi,0.4799609756901968,130.00688032246086,0.0
2606,Macro_dividing,Monocyte_CD16,0.47996091110791067,130.0068628290771,0.0
207,B_memory,Monocyte_CD14,0.4798366265865163,129.97319791939228,0.0
232,B_memory,T_reg,0.47983313007067024,129.9722508192317,0.0
1238,DC_1,Mast_cell,0.4796797010883069,129.93069155846175,0.0
1416,DC_plasmacytoid,Macro_int,0.47957129810922605,129.9013284772077,0.0
1270,DC_2,DC_plasmacytoid,0.47951906296813546,129.88717956077417,0.0
172,B_memory,DC_2,0.4793914601147124,129.85261581552402,0.0
900,CD8_EM_EMRA,Erythrocyte,0.47930595216702027,129.8294543043069,0.0
1031,CD8_TRM,Erythrocyte,0.4792711622162568,129.82003076115566,0.0
612,CD4_EM_Effector,DC_1,0.47911684946369054,129.7782321138255,0.0
1992,Erythrocyte,MAIT,0.4791079866090695,129.77583143514872,0.0
712,CD4_TRM,Macro_int,0.4790177885778074,129.75139952245257,0.0
682,CD4_TRM,DC_1,0.4790115888848827,129.7497202135568,0.0
1411,DC_plasmacytoid,Macro_interstitial,0.4789767703869881,129.74028893785302,0.0
847,CD8_EM,Macro_alv,0.4788233614718453,129.69873511268486,0.0
2649,Macro_int,NKT,0.4787838998406194,129.68804615289864,0.0
642,CD4_EM_Effector,Macro_int,0.4786610045677503,129.65475754853009,0.0
1018,CD8_TRM,DC_2,0.47853701959070566,129.62117377633018,0.0
2782,Macrophage_intermediate,Monocyte_CD14,0.4785058646094828,129.61273483624873,0.0
2619,Macro_dividing,NK_CD56bright,0.47842353441144186,129.59043408109204,0.0
1042,CD8_TRM,Macro_interstitial,0.47842288899401414,129.59025925707397,0.0
707,CD4_TRM,Macro_interstitial,0.4783525466305849,129.57120564295295,0.0
1302,DC_2,Macrophage_intermediate,0.47775437831848505,129.40917997815382,0.0
2648,Macro_int,NK_CD16hi,0.4777130737623366,129.39799182586654,0.0
786,CD4_naive_CM,Macrophage_intermediate,0.47760766772910396,129.369440526403,0.0
248,B_naive,DC_2,0.47753196455374447,129.3489348308205,0.0
848,CD8_EM,Macro_dividing,0.4774202484600112,129.31867432723018,0.0
202,B_memory,Macro_CCL,0.4774084027296783,129.31546567793637,0.0
637,CD4_EM_Effector,Macro_interstitial,0.47723681635771237,129.26898813068772,0.0
173,B_memory,DC_activated,0.47719156302103766,129.25673037344652,0.0
1047,CD8_TRM,Macro_int,0.4771549755674731,129.2468199412702,0.0
1253,DC_1,NK_CD16hi,0.47686909456575577,129.16938344318137,0.0
2807,Macrophage_intermediate,T_reg,0.4768293000155668,129.1586043057391,0.0
2479,Macro_interstitial,NKT,0.47674653833318337,129.13618667455265,0.0
1328,DC_2,T_reg,0.4766396892579492,129.10724449875062,0.0
916,CD8_EM_EMRA,Macro_int,0.4764595501831389,129.05845028354057,0.0
157,B_memory,B_naive,0.47639711730357476,129.04153910885597,0.0
2667,Macro_CCL,Macrophage_intermediate,0.47638422696018545,129.03804750554818,0.0
1293,DC_2,Macro_AW_CX3CR1,0.47627146852626107,129.00750466359426,0.0
2587,Macro_alv,Neuroendocrine,0.4762175965427599,128.9929123761657,0.0
911,CD8_EM_EMRA,Macro_interstitial,0.47589815893059045,128.90638640943249,0.0
1254,DC_1,NKT,0.4757555267769272,128.86775168229707,0.0
2031,Erythrocyte,gdT,0.4757554908462972,128.8677419497785,0.0
1232,DC_1,Macro_AW_CX3CR1,0.47574071519160843,128.86373967278493,0.0
2386,MAIT,Macro_int,0.4756944726683639,128.85121397488498,0.0
163,B_memory,CD4_TRM,0.47568381393605463,128.8483268473769,0.0
2445,Macro_CHIT1,Neuroendocrine,0.4756464745617714,128.83821274266919,0.0
966,CD8_TRM_EM,Erythrocyte,0.4755631889229508,128.81565318756543,0.0
1269,DC_2,DC_activated,0.47550567017694617,128.80007310271088,0.0
174,B_memory,DC_plasmacytoid,0.47548044149067575,128.79323941630142,0.0
2381,MAIT,Macro_interstitial,0.47543348714438427,128.78052090711395,0.0
812,CD4_naive_CM,T_reg,0.4751210443995487,128.69588963792162,0.0
787,CD4_naive_CM,Monocyte_CD14,0.4750313790164591,128.67160200347044,0.0
2833,Monocyte_CD14,T_reg,0.4750299038723221,128.6712024316365,0.0
219,B_memory,NKT,0.47500411827903377,128.66421789599616,0.0
162,B_memory,CD4_EM_Effector,0.4745297710847484,128.53573161889815,0.0
1362,DC_activated,Macrophage_intermediate,0.47446019297371317,128.5168850175856,0.0
886,CD8_EM_EMRA,DC_1,0.4742936874715924,128.4717837239729,0.0
1990,Erythrocyte,ILC,0.4742639908657121,128.46373981356723,0.0
218,B_memory,NK_CD16hi,0.47420259620213745,128.44710986012507,0.0
2668,Macro_CCL,Monocyte_CD14,0.47419962894630896,128.44630612046097,0.0
977,CD8_TRM_EM,Macro_interstitial,0.4738393166570266,128.34870844264125,0.0
1229,DC_1,MAIT,0.4737540367136355,128.32560869087828,0.0
282,B_naive,Macrophage_intermediate,0.47336585144700005,128.22046106834534,0.0
168,B_memory,CD8_TRM,0.4731722058479337,128.1680083451076,0.0
2620,Macro_dividing,Neuroendocrine,0.473145396857314,128.16074660215017,0.0
1421,DC_plasmacytoid,Macrophage_intermediate,0.4725457987978682,127.99833366213177,0.0
982,CD8_TRM_EM,Macro_int,0.4723648506574127,127.94932029556183,0.0
1303,DC_2,Monocyte_CD14,0.47236313845113637,127.94885651077988,0.0
782,CD4_naive_CM,Macro_CCL,0.47236276739403765,127.94875600265887,0.0
